state,year,week,week_cases,m_accum,f_accum,cases_accum
Aguascalientes,2015,2,0,0,0,0
Baja California,2015,2,0,0,0,0
Baja California Sur,2015,2,0,0,0,0
Campeche,2015,2,0,0,0,0
Coahuila,2015,2,0,0,0,0
Colima,2015,2,0,0,0,0
Chiapas,2015,2,0,0,0,0
Chihuahua,2015,2,0,0,0,0
Ciudad de México,2015,2,0,0,0,0
Durango,2015,2,0,0,0,0
Guanajuato,2015,2,0,0,0,0
Guerrero,2015,2,0,0,0,0
Hidalgo,2015,2,0,0,0,0
Jalisco,2015,2,0,0,0,0
México,2015,2,0,0,0,0
Michoacán,2015,2,0,0,0,0
Morelos,2015,2,0,0,0,0
Nayarit,2015,2,0,0,0,0
Nuevo León,2015,2,0,0,0,0
Oaxaca,2015,2,0,0,0,0
Puebla,2015,2,0,0,0,0
Querétaro,2015,2,0,0,0,0
Quintana Roo,2015,2,0,0,0,0
San Luis Potosí,2015,2,0,0,0,0
Sinaloa,2015,2,0,0,0,0
Sonora,2015,2,0,0,0,0
Tabasco,2015,2,0,0,0,0
Tamaulipas,2015,2,0,0,0,0
Tlaxcala,2015,2,0,0,0,0
Veracruz,2015,2,0,0,0,0
Yucatán,2015,2,0,0,0,0
Zacatecas,2015,2,0,0,0,0
Aguascalientes,2015,3,0,0,0,0
Baja California,2015,3,1,0,1,1
Baja California Sur,2015,3,0,0,0,0
Campeche,2015,3,0,0,0,0
Coahuila,2015,3,0,0,0,0
Colima,2015,3,0,0,0,0
Chiapas,2015,3,0,0,0,0
Chihuahua,2015,3,0,0,0,0
Ciudad de México,2015,3,0,0,0,0
Durango,2015,3,0,0,0,0
Guanajuato,2015,3,0,0,0,0
Guerrero,2015,3,0,0,0,0
Hidalgo,2015,3,0,0,0,0
Jalisco,2015,3,0,0,0,0
México,2015,3,0,0,0,0
Michoacán,2015,3,0,0,0,0
Morelos,2015,3,0,0,0,0
Nayarit,2015,3,0,0,0,0
Nuevo León,2015,3,0,0,0,0
Oaxaca,2015,3,0,0,0,0
Puebla,2015,3,0,0,0,0
Querétaro,2015,3,0,0,0,0
Quintana Roo,2015,3,0,0,0,0
San Luis Potosí,2015,3,0,0,0,0
Sinaloa,2015,3,0,0,0,0
Sonora,2015,3,5,2,3,5
Tabasco,2015,3,0,0,0,0
Tamaulipas,2015,3,0,0,0,0
Tlaxcala,2015,3,0,0,0,0
Veracruz,2015,3,0,0,0,0
Yucatán,2015,3,0,0,0,0
Zacatecas,2015,3,0,0,0,0
Aguascalientes,2015,4,0,0,0,0
Baja California,2015,4,0,0,1,1
Baja California Sur,2015,4,0,0,0,0
Campeche,2015,4,0,0,0,0
Coahuila,2015,4,0,0,0,0
Colima,2015,4,0,0,0,0
Chiapas,2015,4,0,0,0,0
Chihuahua,2015,4,0,0,0,0
Ciudad de México,2015,4,0,0,0,0
Durango,2015,4,0,0,0,0
Guanajuato,2015,4,0,0,0,0
Guerrero,2015,4,0,0,0,0
Hidalgo,2015,4,0,0,0,0
Jalisco,2015,4,0,0,0,0
México,2015,4,0,0,0,0
Michoacán,2015,4,0,0,0,0
Morelos,2015,4,0,0,0,0
Nayarit,2015,4,0,0,0,0
Nuevo León,2015,4,0,0,0,0
