state,year,week,week_cases,m_accum,f_accum
Aguascalientes,2016,1,0,0,0
Baja California,2016,1,0,0,0
Baja California Sur,2016,1,0,0,0
Campeche,2016,1,0,0,0
Coahuila,2016,1,0,0,0
Colima,2016,1,0,0,0
Chiapas,2016,1,0,0,0
Chihuahua,2016,1,0,0,0
Ciudad de México,2016,1,0,0,0
Durango,2016,1,0,0,0
Guanajuato,2016,1,0,0,0
Guerrero,2016,1,0,0,0
Hidalgo,2016,1,0,0,0
Jalisco,2016,1,0,0,0
México,2016,1,0,0,0
Michoacán,2016,1,0,0,0
Morelos,2016,1,0,0,0
Nayarit,2016,1,0,0,0
Nuevo León,2016,1,0,0,0
Oaxaca,2016,1,0,0,0
Puebla,2016,1,0,0,0
Querétaro,2016,1,0,0,0
Quintana Roo,2016,1,0,0,0
San Luis Potosí,2016,1,0,0,0
Sinaloa,2016,1,0,0,0
Sonora,2016,1,0,0,0
Tabasco,2016,1,0,0,0
Tamaulipas,2016,1,0,0,0
Tlaxcala,2016,1,0,0,0
Veracruz,2016,1,0,0,0
Yucatán,2016,1,0,0,0
Zacatecas,2016,1,0,0,0
Aguascalientes,2016,2,0,0,0
Baja California,2016,2,0,0,0
Baja California Sur,2016,2,0,0,0
Campeche,2016,2,0,0,0
Coahuila,2016,2,0,0,0
Colima,2016,2,0,0,0
Chiapas,2016,2,0,0,0
Chihuahua,2016,2,0,0,0
Ciudad de México,2016,2,0,0,0
Durango,2016,2,0,0,0
Guanajuato,2016,2,0,0,0
Guerrero,2016,2,0,0,0
Hidalgo,2016,2,0,0,0
Jalisco,2016,2,0,0,0
México,2016,2,0,0,0
Michoacán,2016,2,0,0,0
Morelos,2016,2,0,0,0
Nayarit,2016,2,0,0,0
Nuevo León,2016,2,0,0,0
Oaxaca,2016,2,0,0,0
Puebla,2016,2,0,0,0
Querétaro,2016,2,0,0,0
Quintana Roo,2016,2,0,0,0
San Luis Potosí,2016,2,0,0,0
Sinaloa,2016,2,0,0,0
Sonora,2016,2,0,0,0
Tabasco,2016,2,0,0,0
Tamaulipas,2016,2,0,0,0
Tlaxcala,2016,2,0,0,0
Veracruz,2016,2,0,0,0
Yucatán,2016,2,0,0,0
Zacatecas,2016,2,0,0,0
Aguascalientes,2016,3,0,0,0
Baja California,2016,3,0,0,0
Baja California Sur,2016,3,0,0,0
Campeche,2016,3,0,0,0
Coahuila,2016,3,0,0,0
Colima,2016,3,0,0,0
Chiapas,2016,3,0,0,0
Chihuahua,2016,3,0,0,0
Ciudad de México,2016,3,0,0,0
Durango,2016,3,0,0,0
Guanajuato,2016,3,0,0,0
Guerrero,2016,3,0,0,0
Hidalgo,2016,3,0,0,0
Jalisco,2016,3,0,0,0
México,2016,3,0,0,0
