estado,sem,m_acum,f_acum,2016_acum,no_sem,anio
Aguascalientes,0,0,0,0,1,2017
Baja California,0,0,0,0,1,2017
Baja California Sur,0,0,0,0,1,2017
Campeche,0,0,0,0,1,2017
Coahuila,0,0,0,0,1,2017
Colima,0,0,0,0,1,2017
Chiapas,0,0,0,0,1,2017
Chihuahua,0,0,0,0,1,2017
Ciudad de México,0,0,0,0,1,2017
Durango,0,0,0,0,1,2017
Guanajuato,0,0,0,0,1,2017
Guerrero,0,0,0,0,1,2017
Hidalgo,0,0,0,0,1,2017
Jalisco,0,0,0,0,1,2017
México,0,0,0,0,1,2017
Michoacán,0,0,0,0,1,2017
Morelos,0,0,0,0,1,2017
Nayarit,0,0,0,0,1,2017
Nuevo León,0,0,0,0,1,2017
Oaxaca,0,0,0,0,1,2017
Puebla,0,0,0,0,1,2017
Querétaro,0,0,0,0,1,2017
Quintana Roo,0,0,0,0,1,2017
San Luis Potosí,0,0,0,0,1,2017
Sinaloa,0,0,0,0,1,2017
Sonora,0,0,0,0,1,2017
Tabasco,0,0,0,0,1,2017
Tamaulipas,0,0,0,0,1,2017
Tlaxcala,0,0,0,0,1,2017
Veracruz,0,0,0,0,1,2017
Yucatán,0,0,0,0,1,2017
Zacatecas,0,0,0,0,1,2017
TOTAL,0,0,0,0,1,2017
Aguascalientes,0,0,0,0,2,2017
Baja California,0,0,0,0,2,2017
Baja California Sur,0,0,0,0,2,2017
Campeche,0,0,0,0,2,2017
Coahuila,0,0,0,0,2,2017
Colima,0,0,0,0,2,2017
Chiapas,0,0,0,0,2,2017
Chihuahua,0,0,0,0,2,2017
Ciudad de México,0,0,0,0,2,2017
Durango,0,0,0,0,2,2017
Guanajuato,0,0,0,0,2,2017
Guerrero,0,0,0,0,2,2017
Hidalgo,0,0,0,0,2,2017
Jalisco,0,0,0,0,2,2017
México,0,0,0,0,2,2017
Michoacán,0,0,0,0,2,2017
Morelos,0,0,0,0,2,2017
Nayarit,0,0,0,0,2,2017
Nuevo León,0,0,0,0,2,2017
Oaxaca,0,0,0,0,2,2017
Puebla,0,0,0,0,2,2017
Querétaro,0,0,0,0,2,2017
Quintana Roo,0,0,0,0,2,2017
San Luis Potosí,0,0,0,0,2,2017
Sinaloa,0,0,0,0,2,2017
Sonora,0,0,0,0,2,2017
Tabasco,0,0,0,0,2,2017
Tamaulipas,0,0,0,0,2,2017
Tlaxcala,0,0,0,0,2,2017
Veracruz,0,0,0,0,2,2017
Yucatán,0,0,0,0,2,2017
Zacatecas,0,0,0,0,2,2017
TOTAL,0,0,0,0,2,2017
Aguascalientes,0,0,0,0,3,2017
Baja California,0,0,0,0,3,2017
Baja California Sur,0,0,0,0,3,2017
Campeche,0,0,0,0,3,2017
Coahuila,0,0,0,0,3,2017
Colima,0,0,0,0,3,2017
Chiapas,0,0,0,0,3,2017
Chihuahua,0,0,0,0,3,2017
Ciudad de México,0,0,0,0,3,2017
Durango,0,0,0,0,3,2017
Guanajuato,0,0,0,0,3,2017
Guerrero,0,0,0,0,3,2017
Hidalgo,0,0,0,0,3,2017
Jalisco,0,0,0,0,3,2017
México,0,0,0,0,3,2017
Michoacán,0,0,0,0,3,2017
Morelos,0,0,0,0,3,2017
Nayarit,0,0,0,0,3,2017
Nuevo León,0,0,0,0,3,2017
Oaxaca,0,0,0,0,3,2017
Puebla,0,0,0,0,3,2017
Querétaro,0,0,0,0,3,2017
Quintana Roo,0,0,0,0,3,2017
San Luis Potosí,0,0,0,0,3,2017
Sinaloa,0,0,0,0,3,2017
Sonora,0,0,0,0,3,2017
Tabasco,0,0,0,0,3,2017
Tamaulipas,0,0,0,0,3,2017
Tlaxcala,0,0,0,0,3,2017
Veracruz,0,0,0,0,3,2017
Yucatán,0,0,0,0,3,2017
Zacatecas,0,0,0,0,3,2017
TOTAL,0,0,0,0,3,2017
Aguascalientes,0,0,0,0,4,2017
Baja California,0,0,0,0,4,2017
Baja California Sur,0,0,0,0,4,2017
Campeche,0,0,0,0,4,2017
Coahuila,0,0,0,0,4,2017
Colima,0,0,0,0,4,2017
Chiapas,0,0,0,0,4,2017
Chihuahua,0,0,0,0,4,2017
Ciudad de México,0,0,0,0,4,2017
Durango,0,0,0,0,4,2017
Guanajuato,0,0,0,0,4,2017
Guerrero,0,0,0,0,4,2017
Hidalgo,0,0,0,0,4,2017
Jalisco,0,0,0,0,4,2017
México,0,0,0,0,4,2017
Michoacán,0,0,0,0,4,2017
Morelos,0,0,0,0,4,2017
Nayarit,0,0,0,0,4,2017
Nuevo León,0,0,0,0,4,2017
Oaxaca,0,0,0,0,4,2017
Puebla,0,0,0,0,4,2017
Querétaro,0,0,0,0,4,2017
Quintana Roo,0,0,0,0,4,2017
San Luis Potosí,0,0,0,0,4,2017
Sinaloa,0,0,0,0,4,2017
Sonora,0,0,0,0,4,2017
Tabasco,0,0,0,0,4,2017
Tamaulipas,0,0,0,0,4,2017
Tlaxcala,0,0,0,0,4,2017
Veracruz,0,0,0,1,4,2017
Yucatán,0,0,0,0,4,2017
Zacatecas,0,0,0,0,4,2017
TOTAL,0,0,0,1,4,2017
Aguascalientes,0,0,0,0,5,2017
Baja California,1,0,1,0,5,2017
Baja California Sur,0,0,0,0,5,2017
Campeche,0,0,0,0,5,2017
Coahuila,0,0,0,0,5,2017
Colima,0,0,0,0,5,2017
Chiapas,0,0,0,0,5,2017
Chihuahua,0,0,0,0,5,2017
Ciudad de México,0,0,0,0,5,2017
Durango,0,0,0,0,5,2017
Guanajuato,0,0,0,0,5,2017
Guerrero,0,0,0,0,5,2017
Hidalgo,0,0,0,0,5,2017
Jalisco,0,0,0,0,5,2017
México,0,0,0,0,5,2017
Michoacán,0,0,0,0,5,2017
Morelos,0,0,0,0,5,2017
Nayarit,0,0,0,0,5,2017
Nuevo León,0,0,0,0,5,2017
Oaxaca,0,0,0,0,5,2017
Puebla,0,0,0,0,5,2017
Querétaro,0,0,0,0,5,2017
Quintana Roo,0,0,0,0,5,2017
San Luis Potosí,0,0,0,0,5,2017
Sinaloa,0,0,0,0,5,2017
Sonora,0,0,0,0,5,2017
Tabasco,0,0,0,0,5,2017
Tamaulipas,0,0,0,0,5,2017
Tlaxcala,0,0,0,0,5,2017
Veracruz,0,0,0,1,5,2017
Yucatán,0,0,0,0,5,2017
Zacatecas,0,0,0,0,5,2017
TOTAL,1,0,1,1,5,2017
Aguascalientes,0,0,0,0,6,2017
Baja California,0,0,1,0,6,2017
Baja California Sur,0,0,0,0,6,2017
Campeche,0,0,0,0,6,2017
Coahuila,0,0,0,0,6,2017
Colima,0,0,0,0,6,2017
Chiapas,0,0,0,0,6,2017
Chihuahua,0,0,0,0,6,2017
Ciudad de México,0,0,0,0,6,2017
Durango,0,0,0,0,6,2017
Guanajuato,0,0,0,0,6,2017
Guerrero,0,0,0,0,6,2017
Hidalgo,0,0,0,0,6,2017
Jalisco,0,0,0,0,6,2017
México,0,0,0,0,6,2017
Michoacán,0,0,0,0,6,2017
Morelos,0,0,0,0,6,2017
Nayarit,0,0,0,0,6,2017
Nuevo León,0,0,0,1,6,2017
Oaxaca,0,0,0,0,6,2017
Puebla,0,0,0,0,6,2017
Querétaro,0,0,0,0,6,2017
Quintana Roo,0,0,0,0,6,2017
San Luis Potosí,0,0,0,0,6,2017
Sinaloa,0,0,0,0,6,2017
Sonora,0,0,0,0,6,2017
Tabasco,0,0,0,0,6,2017
Tamaulipas,0,0,0,0,6,2017
Tlaxcala,0,0,0,0,6,2017
Veracruz,0,0,0,1,6,2017
Yucatán,0,0,0,0,6,2017
Zacatecas,0,0,0,0,6,2017
TOTAL,0,0,1,2,6,2017
Aguascalientes,0,0,0,0,7,2017
Baja California,0,0,1,1,7,2017
Baja California Sur,0,0,0,0,7,2017
Campeche,0,0,0,0,7,2017
Coahuila,0,0,0,0,7,2017
Colima,0,0,0,0,7,2017
Chiapas,0,0,0,0,7,2017
Chihuahua,0,0,0,0,7,2017
Ciudad de México,0,0,0,0,7,2017
Durango,0,0,0,0,7,2017
Guanajuato,0,0,0,0,7,2017
Guerrero,0,0,0,0,7,2017
Hidalgo,0,0,0,0,7,2017
Jalisco,0,0,0,0,7,2017
México,0,0,0,0,7,2017
Michoacán,0,0,0,0,7,2017
Morelos,0,0,0,0,7,2017
Nayarit,0,0,0,0,7,2017
Nuevo León,0,0,0,1,7,2017
Oaxaca,0,0,0,0,7,2017
Puebla,0,0,0,0,7,2017
Querétaro,0,0,0,0,7,2017
Quintana Roo,0,0,0,0,7,2017
San Luis Potosí,0,0,0,0,7,2017
Sinaloa,0,0,0,0,7,2017
Sonora,0,0,0,0,7,2017
Tabasco,0,0,0,0,7,2017
Tamaulipas,0,0,0,0,7,2017
Tlaxcala,0,0,0,0,7,2017
Veracruz,0,0,0,1,7,2017
Yucatán,0,0,0,0,7,2017
Zacatecas,0,0,0,0,7,2017
TOTAL,0,0,1,3,7,2017
Aguascalientes,0,0,0,0,8,2017
Baja California,0,0,1,1,8,2017
Baja California Sur,0,0,0,0,8,2017
Campeche,0,0,0,0,8,2017
Coahuila,0,0,0,0,8,2017
Colima,0,0,0,0,8,2017
Chiapas,0,0,0,0,8,2017
Chihuahua,0,0,0,0,8,2017
Ciudad de México,0,0,0,0,8,2017
Durango,0,0,0,0,8,2017
Guanajuato,0,0,0,0,8,2017
Guerrero,0,0,0,0,8,2017
Hidalgo,0,0,0,0,8,2017
Jalisco,0,0,0,0,8,2017
México,0,0,0,0,8,2017
Michoacán,0,0,0,0,8,2017
Morelos,0,0,0,0,8,2017
Nayarit,0,0,0,0,8,2017
Nuevo León,0,0,0,1,8,2017
Oaxaca,0,0,0,0,8,2017
Puebla,0,0,0,0,8,2017
Querétaro,0,0,0,0,8,2017
Quintana Roo,0,0,0,0,8,2017
San Luis Potosí,0,0,0,0,8,2017
Sinaloa,0,0,0,0,8,2017
Sonora,0,0,0,0,8,2017
Tabasco,0,0,0,0,8,2017
Tamaulipas,0,0,0,0,8,2017
Tlaxcala,0,0,0,0,8,2017
Veracruz,0,0,0,1,8,2017
Yucatán,0,0,0,0,8,2017
Zacatecas,0,0,0,0,8,2017
TOTAL,0,0,1,3,8,2017
Aguascalientes,0,0,0,0,9,2017
Baja California,0,0,1,1,9,2017
Baja California Sur,0,0,0,0,9,2017
Campeche,0,0,0,0,9,2017
Coahuila,0,0,0,0,9,2017
Colima,0,0,0,0,9,2017
Chiapas,0,0,0,0,9,2017
Chihuahua,0,0,0,0,9,2017
Ciudad de México,0,0,0,0,9,2017
Durango,0,0,0,0,9,2017
Guanajuato,0,0,0,0,9,2017
Guerrero,0,0,0,0,9,2017
Hidalgo,0,0,0,0,9,2017
Jalisco,0,0,0,0,9,2017
México,0,0,0,0,9,2017
Michoacán,0,0,0,0,9,2017
Morelos,0,0,0,0,9,2017
Nayarit,0,0,0,0,9,2017
Nuevo León,0,0,0,1,9,2017
Oaxaca,0,0,0,0,9,2017
Puebla,0,0,0,0,9,2017
Querétaro,0,0,0,0,9,2017
Quintana Roo,0,0,0,0,9,2017
San Luis Potosí,0,0,0,0,9,2017
Sinaloa,0,0,0,0,9,2017
Sonora,1,1,0,1,9,2017
Tabasco,0,0,0,0,9,2017
Tamaulipas,0,0,0,0,9,2017
Tlaxcala,0,0,0,0,9,2017
Veracruz,0,0,0,1,9,2017
Yucatán,0,0,0,0,9,2017
Zacatecas,0,0,0,0,9,2017
TOTAL,1,1,1,4,9,2017
Aguascalientes,0,0,0,0,10,2017
Baja California,0,0,1,2,10,2017
Baja California Sur,0,0,0,0,10,2017
Campeche,0,0,0,0,10,2017
Coahuila,0,0,0,0,10,2017
Colima,0,0,0,0,10,2017
Chiapas,0,0,0,0,10,2017
Chihuahua,0,0,0,0,10,2017
Ciudad de México,0,0,0,0,10,2017
Durango,0,0,0,0,10,2017
Guanajuato,0,0,0,0,10,2017
Guerrero,0,0,0,0,10,2017
Hidalgo,0,0,0,0,10,2017
Jalisco,0,0,0,0,10,2017
México,0,0,0,0,10,2017
Michoacán,0,0,0,0,10,2017
Morelos,0,0,0,0,10,2017
Nayarit,0,0,0,0,10,2017
Nuevo León,0,0,0,3,10,2017
Oaxaca,0,0,0,0,10,2017
Puebla,0,0,0,0,10,2017
Querétaro,0,0,0,0,10,2017
Quintana Roo,0,0,0,0,10,2017
San Luis Potosí,0,0,0,0,10,2017
Sinaloa,0,0,0,0,10,2017
Sonora,0,1,0,1,10,2017
Tabasco,0,0,0,0,10,2017
Tamaulipas,0,0,0,0,10,2017
Tlaxcala,0,0,0,0,10,2017
Veracruz,0,0,0,1,10,2017
Yucatán,0,0,0,0,10,2017
Zacatecas,0,0,0,0,10,2017
TOTAL,0,1,1,7,10,2017
Aguascalientes,0,0,0,0,11,2017
Baja California,0,0,1,2,11,2017
Baja California Sur,0,0,0,0,11,2017
Campeche,0,0,0,0,11,2017
Coahuila,0,0,0,0,11,2017
Colima,0,0,0,0,11,2017
Chiapas,0,0,0,0,11,2017
Chihuahua,1,0,1,0,11,2017
Ciudad de México,0,0,0,0,11,2017
Durango,0,0,0,0,11,2017
Guanajuato,0,0,0,0,11,2017
Guerrero,0,0,0,0,11,2017
Hidalgo,0,0,0,0,11,2017
Jalisco,0,0,0,0,11,2017
México,0,0,0,0,11,2017
Michoacán,0,0,0,0,11,2017
Morelos,0,0,0,0,11,2017
Nayarit,0,0,0,0,11,2017
Nuevo León,0,0,0,3,11,2017
Oaxaca,0,0,0,0,11,2017
Puebla,0,0,0,0,11,2017
Querétaro,0,0,0,0,11,2017
Quintana Roo,0,0,0,0,11,2017
San Luis Potosí,0,0,0,0,11,2017
Sinaloa,0,0,0,0,11,2017
Sonora,0,1,0,1,11,2017
Tabasco,0,0,0,0,11,2017
Tamaulipas,0,0,0,0,11,2017
Tlaxcala,0,0,0,0,11,2017
Veracruz,0,0,0,1,11,2017
Yucatán,0,0,0,0,11,2017
Zacatecas,0,0,0,0,11,2017
TOTAL,1,1,2,7,11,2017
Aguascalientes,0,0,0,0,12,2017
Baja California,0,0,1,2,12,2017
Baja California Sur,0,0,0,0,12,2017
Campeche,0,0,0,0,12,2017
Coahuila,0,0,0,0,12,2017
Colima,0,0,0,0,12,2017
Chiapas,0,0,0,0,12,2017
Chihuahua,2,0,3,0,12,2017
Ciudad de México,0,0,0,0,12,2017
Durango,0,0,0,0,12,2017
Guanajuato,0,0,0,0,12,2017
Guerrero,0,0,0,0,12,2017
Hidalgo,0,0,0,0,12,2017
Jalisco,0,0,0,0,12,2017
México,0,0,0,0,12,2017
Michoacán,0,0,0,0,12,2017
Morelos,0,0,0,0,12,2017
Nayarit,0,0,0,0,12,2017
Nuevo León,0,0,0,3,12,2017
Oaxaca,0,0,0,0,12,2017
Puebla,0,0,0,0,12,2017
Querétaro,0,0,0,0,12,2017
Quintana Roo,0,0,0,0,12,2017
San Luis Potosí,0,0,0,0,12,2017
Sinaloa,0,0,0,0,12,2017
Sonora,0,1,0,1,12,2017
Tabasco,0,0,0,0,12,2017
Tamaulipas,0,0,0,0,12,2017
Tlaxcala,0,0,0,0,12,2017
Veracruz,0,0,0,1,12,2017
Yucatán,0,0,0,0,12,2017
Zacatecas,0,0,0,0,12,2017
TOTAL,2,1,4,7,12,2017
Aguascalientes,0,0,0,0,13,2017
Baja California,0,0,1,2,13,2017
Baja California Sur,0,0,0,0,13,2017
Campeche,0,0,0,0,13,2017
Coahuila,0,0,0,0,13,2017
Colima,0,0,0,0,13,2017
Chiapas,0,0,0,0,13,2017
Chihuahua,0,0,3,0,13,2017
Ciudad de México,0,0,0,0,13,2017
Durango,0,0,0,0,13,2017
Guanajuato,0,0,0,0,13,2017
Guerrero,0,0,0,0,13,2017
Hidalgo,0,0,0,0,13,2017
Jalisco,0,0,0,0,13,2017
México,0,0,0,0,13,2017
Michoacán,0,0,0,0,13,2017
Morelos,0,0,0,0,13,2017
Nayarit,0,0,0,0,13,2017
Nuevo León,0,0,0,3,13,2017
Oaxaca,0,0,0,0,13,2017
Puebla,0,0,0,0,13,2017
Querétaro,0,0,0,0,13,2017
Quintana Roo,0,0,0,0,13,2017
San Luis Potosí,0,0,0,0,13,2017
Sinaloa,0,0,0,0,13,2017
Sonora,0,1,0,2,13,2017
Tabasco,0,0,0,0,13,2017
Tamaulipas,0,0,0,0,13,2017
Tlaxcala,0,0,0,0,13,2017
Veracruz,0,0,0,2,13,2017
Yucatán,0,0,0,0,13,2017
Zacatecas,0,0,0,0,13,2017
TOTAL,0,1,4,9,13,2017
Aguascalientes,0,0,0,0,14,2017
Baja California,0,0,1,2,14,2017
Baja California Sur,0,0,0,0,14,2017
Campeche,0,0,0,0,14,2017
Coahuila,0,0,0,0,14,2017
Colima,0,0,0,0,14,2017
Chiapas,0,0,0,0,14,2017
Chihuahua,0,0,3,0,14,2017
Ciudad de México,0,0,0,0,14,2017
Durango,0,0,0,0,14,2017
Guanajuato,0,0,0,0,14,2017
Guerrero,0,0,0,0,14,2017
Hidalgo,0,0,0,0,14,2017
Jalisco,0,0,0,0,14,2017
México,0,0,0,0,14,2017
Michoacán,0,0,0,0,14,2017
Morelos,0,0,0,0,14,2017
Nayarit,0,0,0,0,14,2017
Nuevo León,0,0,0,3,14,2017
Oaxaca,0,0,0,0,14,2017
Puebla,0,0,0,0,14,2017
Querétaro,0,0,0,0,14,2017
Quintana Roo,0,0,0,0,14,2017
San Luis Potosí,0,0,0,0,14,2017
Sinaloa,0,0,0,0,14,2017
Sonora,1,2,0,2,14,2017
Tabasco,0,0,0,0,14,2017
Tamaulipas,0,0,0,0,14,2017
Tlaxcala,0,0,0,0,14,2017
Veracruz,0,0,0,2,14,2017
Yucatán,0,0,0,0,14,2017
Zacatecas,0,0,0,0,14,2017
TOTAL,1,2,4,9,14,2017
