Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,1,,10,,,-,2,,4,,50,,213,,4,,8,,66,,435,,522,,66,,384,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW ENGLAND,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,11,,24,,1,,5,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
CONNECTICUT,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}', 'latitude': '41.544654', 'longitude': '-72.651713', 'needs_recoding': False}",
MAINE,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}', 'latitude': '45.252223', 'longitude': '-68.986647', 'needs_recoding': False}",
MASSACHUSETTS,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,7,,15,,1,,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}', 'latitude': '42.268546', 'longitude': '-72.085064', 'needs_recoding': False}",
NEW HAMPSHIRE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW HAMPSHIRE"",""zip"":""""}', 'latitude': '43.657736', 'longitude': '-71.500736', 'needs_recoding': False}",
RHODE ISLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""RHODE ISLAND"",""zip"":""""}', 'latitude': '41.707447', 'longitude': '-71.522488', 'needs_recoding': False}",
VERMONT,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""VERMONT"",""zip"":""""}', 'latitude': '43.622479', 'longitude': '-72.51927', 'needs_recoding': False}",
MID. ATLANTIC,2016,1,,-,0,,2,,,-,,-,,-,1,,11,,,-,,-,11,,54,,84,,11,,40,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
NEW JERSEY,2016,1,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,6,,14,,,-,6,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW JERSEY"",""zip"":""""}', 'latitude': '40.104655', 'longitude': '-74.386686', 'needs_recoding': False}",
NEW YORK,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,8,,22,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK"",""zip"":""""}', 'latitude': '42.826892', 'longitude': '-75.544286', 'needs_recoding': False}",
NEW YORK CITY,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,1,,28,,45,,1,,26,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEW YORK CITY"",""zip"":""""}', 'needs_recoding': False}",
PENNSYLVANIA,2016,1,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,10,,11,,22,,10,,8,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""PENNSYLVANIA"",""zip"":""""}', 'latitude': '40.789676', 'longitude': '-77.858055', 'needs_recoding': False}",
E.N. CENTRAL,2016,1,,-,0,,3,,,-,,-,,-,1,,6,,,-,,-,3,,40,,64,,3,,40,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
ILLINOIS,2016,1,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,,-,16,,33,,,-,15,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""ILLINOIS"",""zip"":""""}', 'latitude': '40.477092', 'longitude': '-88.993221', 'needs_recoding': False}",
INDIANA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,2,,6,,15,,2,,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""INDIANA"",""zip"":""""}', 'latitude': '39.76845', 'longitude': '-86.156212', 'needs_recoding': False}",
MICHIGAN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,7,,12,,,-,11,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MICHIGAN"",""zip"":""""}', 'latitude': '44.66399', 'longitude': '-84.711206', 'needs_recoding': False}",
OHIO,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,10,,21,,,-,13,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""OHIO"",""zip"":""""}', 'latitude': '40.056807', 'longitude': '-82.405897', 'needs_recoding': False}",
WISCONSIN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,1,,4,,1,,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""WISCONSIN"",""zip"":""""}', 'latitude': '44.395526', 'longitude': '-89.834513', 'needs_recoding': False}",
W.N. CENTRAL,2016,1,,-,0,,5,,,-,,-,,-,6,,25,,,-,,-,3,,15,,26,,3,,13,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
IOWA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}', 'latitude': '42.46942', 'longitude': '-93.815856', 'needs_recoding': False}",
KANSAS,2016,1,,-,0,,1,,,-,,-,,-,2,,13,,,-,,-,1,,1,,5,,1,,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}', 'latitude': '38.345528', 'longitude': '-98.201847', 'needs_recoding': False}",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,2,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}', 'latitude': '44.943719', 'longitude': '-93.094281', 'needs_recoding': False}",
MISSOURI,2016,1,,-,0,,2,,,-,,-,,-,4,,18,,,-,,-,2,,5,,13,,2,,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}', 'latitude': '38.636168', 'longitude': '-92.566292', 'needs_recoding': False}",
NEBRASKA,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}', 'latitude': '41.640503', 'longitude': '-99.367122', 'needs_recoding': False}",
NORTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}', 'latitude': '47.475879', 'longitude': '-100.121011', 'needs_recoding': False}",
SOUTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,,-,3,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}', 'latitude': '44.35371', 'longitude': '-100.373709', 'needs_recoding': False}",
S. ATLANTIC,2016,1,,-,0,,5,,,-,1,,,-,9,,79,,,-,3,,5,,108,,151,,5,,84,,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",
DELAWARE,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,1,,10,,,-,,-,"{'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}', 'latitude': '39.008676', 'longitude': '-75.574561', 'needs_recoding': False}",
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,4,,"{'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}', 'needs_recoding': False}",
