estado,1,2,3,sem,m_acum,f_acum,acum,semana,year,8,9
Aguascalientes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Baja California,1.0,68.0,87.0,0.0,12.0,29.0,559.0,01+,2015,,
Baja California Sur,0.0,3.0,1.0,0.0,8.0,25.0,54.0,01+,2015,,
Campeche,0.0,2.0,4.0,0.0,0.0,0.0,2.0,01+,2015,,
Coahuila,0.0,4.0,5.0,0.0,36.0,52.0,193.0,01+,2015,,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Chiapas,0.0,1.0,1.0,0.0,0.0,0.0,0.0,01+,2015,,
Chihuahua,0.0,1.0,4.0,0.0,2.0,3.0,2.0,01+,2015,,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Durango,0.0,0.0,1.0,0.0,1.0,1.0,1.0,01+,2015,,
Guanajuato,0.0,0.0,0.0,0.0,2.0,0.0,6.0,01+,2015,,
Guerrero,0.0,2.0,7.0,0.0,1.0,2.0,7.0,01+,2015,,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Jalisco,0.0,2.0,5.0,0.0,0.0,0.0,1.0,01+,2015,,
México,0.0,0.0,0.0,0.0,0.0,0.0,1.0,01+,2015,,
Michoacán,1.0,12.0,36.0,0.0,0.0,0.0,68.0,01+,2015,,
Morelos,0.0,6.0,8.0,0.0,0.0,0.0,3.0,01+,2015,,
Nayarit,0.0,8.0,33.0,0.0,0.0,0.0,0.0,01+,2015,,
Nuevo León,0.0,1.0,4.0,0.0,5.0,16.0,28.0,01+,2015,,
Oaxaca,0.0,4.0,8.0,0.0,0.0,0.0,0.0,01+,2015,,
Puebla,0.0,4.0,5.0,0.0,0.0,0.0,0.0,01+,2015,,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Quintana Roo,0.0,1.0,6.0,0.0,0.0,0.0,1.0,01+,2015,,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Sinaloa,3.0,113.0,411.0,0.0,1.0,9.0,23.0,01+,2015,,
Sonora,0.0,23.0,36.0,1.0,29.0,35.0,81.0,01+,2015,,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Tamaulipas,0.0,6.0,13.0,0.0,0.0,0.0,0.0,01+,2015,,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01+,2015,,
Veracruz,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01+,2015,,
Yucatán,0.0,8.0,2.0,0.0,0.0,0.0,0.0,01+,2015,,
Zacatecas,0.0,0.0,1.0,0.0,0.0,0.0,2.0,01+,2015,,
TOTAL,5.0,269.0,679.0,1.0,97.0,172.0,1032.0,01+,2015,,
Aguascalientes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Baja California,2.0,1.0,1.0,0.0,0.0,0.0,0.0,02,2015,1.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Campeche,1.0,0.0,1.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
